InvoiceNo,Date,StoreID,ProductID,Category,Quantity,UnitPrice,Discount(%),CostPerUnit,CustomerType,PaymentMode,Day,Gross_Sales,Total_Cost,Total_Sales,Net_Profit,Profit_Margin,DayName
INV1000050,23-07-2025,STR012,PRD0063,Accessories,2,2357.56,0,1296.18,Returning,Card,Weekday,4715.12,2592.36,4715.12,2122.76,45.02,Wednesday
INV1000051,22-03-2025,STR016,PRD0093,Shoes,3,3726.28,0,1640.37,Returning,Cash,Weekend,11178.84,4921.11,11178.84,6257.73,55.98,Saturday
INV1000052,19-03-2025,STR015,PRD0052,Accessories,1,7010.34,5,459.45,Returning,Digital,Weekday,7010.34,459.45,6659.82,6200.32,93.10,Wednesday
INV1000053,04-06-2024,STR045,PRD0059,Accessories,3,2927.89,0,369.65,Returning,Digital,Weekday,8783.67,1108.95,8783.67,7674.72,87.37,Tuesday
INV1000054,11-05-2025,STR014,PRD0095,Shoes,3,4286.23,25,240.53,New,Card,Weekend,12858.69,721.59,9644.02,8922.18,92.52,Sunday
INV1000055,15-01-2024,STR020,PRD0002,Clothing,3,3686.08,0,125.49,Returning,Digital,Weekday,11058.24,376.47,11058.24,10681.77,96.60,Monday
INV1000056,02-11-2024,STR007,PRD0112,Shoes,4,888.31,5,548.64,Returning,Cash,Weekend,3553.24,2194.56,3375.58,1180.97,34.99,Saturday
INV1000057,26-09-2024,STR041,PRD0088,Shoes,1,1185.99,5,918.22,Returning,Card,Weekday,1185.99,918.22,1126.69,208.42,18.50,Thursday
INV1000058,15-02-2025,STR039,PRD0102,Shoes,5,5252.61,0,1631.41,Returning,Cash,Weekend,26263.05,8157.05,26263.05,18106.00,68.94,Saturday
INV1000059,26-09-2025,STR048,PRD0013,Clothing,1,4764.16,0,132.84,New,Cash,Weekday,4764.16,132.84,4764.16,4631.32,97.21,Friday
INV1000060,14-07-2024,STR001,PRD0053,Accessories,4,4669.89,0,630.04,Returning,Cash,Weekend,18679.56,2520.16,18679.56,16159.40,86.51,Sunday
INV1000061,09-06-2024,STR015,PRD0034,Clothing,3,4045.23,10,2046.41,Returning,Digital,Weekend,12135.69,6139.23,10922.12,4782.79,43.79,Sunday
INV1000062,25-06-2025,STR005,PRD0008,Clothing,3,1246.65,10,244.78,New,Card,Weekday,3739.95,734.34,3365.96,2631.52,78.18,Wednesday
INV1000063,11-02-2024,STR045,PRD0052,Accessories,5,9443.96,5,498.16,Returning,Cash,Weekend,47219.80,2490.80,44858.81,42367.96,94.45,Sunday
INV1000064,09-10-2025,STR044,PRD0108,Shoes,4,6995.72,0,958.33,Returning,Cash,Weekday,27982.88,3833.32,27982.88,24149.56,86.30,Thursday
INV1000065,09-02-2025,STR034,PRD0084,Shoes,6,3984.05,30,1645.62,Returning,Card,Weekend,23904.30,9873.72,16733.01,6858.99,40.99,Sunday
INV1000066,11-09-2024,STR043,PRD0014,Clothing,4,4359.80,10,445.26,New,Cash,Weekday,17439.20,1781.04,15695.28,13914.14,88.65,Wednesday
INV1000067,22-11-2023,STR017,PRD0042,Accessories,8,1424.44,20,207.46,New,Card,Weekday,11395.52,1659.68,9116.42,7456.54,81.79,Wednesday
INV1000068,20-08-2024,STR040,PRD0097,Shoes,2,4389.15,0,1946.43,Returning,Card,Weekday,8778.30,3892.86,8778.30,4885.44,55.65,Tuesday
INV1000069,30-04-2024,STR008,PRD0004,Clothing,1,4879.16,0,546.92,Returning,Cash,Weekday,4879.16,546.92,4879.16,4332.24,88.79,Tuesday
INV1000070,14-09-2024,STR008,PRD0060,Accessories,3,9486.49,0,869.47,Returning,Digital,Weekend,28459.47,2608.41,28459.47,25851.06,90.83,Saturday
INV1000071,08-04-2024,STR036,PRD0019,Clothing,2,2226.14,5,1914.31,Returning,Digital,Weekday,4452.28,3828.62,4229.67,401.00,9.48,Monday
INV1000072,21-09-2024,STR022,PRD0101,Shoes,5,4455.71,0,137.43,Returning,Cash,Weekend,22278.55,687.15,22278.55,21591.40,96.92,Saturday
INV1000073,01-03-2025,STR035,PRD0062,Accessories,3,3647.70,5,1343.33,New,Card,Weekend,10943.10,4029.99,10395.95,6365.91,61.23,Saturday
INV1000074,15-12-2024,STR050,PRD0053,Accessories,6,723.38,10,666.70,New,Digital,Weekend,4340.28,4000.20,3906.25,-94.05,-2.41,Sunday
INV1000075,01-03-2025,STR022,PRD0112,Shoes,2,1522.63,0,683.31,Returning,Digital,Weekend,3045.26,1366.62,3045.26,1678.64,55.12,Saturday
INV1000076,01-01-2025,STR005,PRD0061,Accessories,7,7880.80,10,1793.98,Returning,Card,Weekday,55165.60,12557.86,49649.04,37091.08,74.71,Wednesday
INV1000077,28-08-2025,STR049,PRD0063,Accessories,2,8762.12,0,943.20,Returning,Digital,Weekday,17524.24,1886.40,17524.24,15637.84,89.24,Thursday
INV1000078,09-05-2024,STR028,PRD0013,Clothing,1,3921.66,0,162.69,New,Digital,Weekday,3921.66,162.69,3921.66,3758.97,95.85,Thursday
INV1000079,22-06-2025,STR019,PRD0046,Accessories,1,3935.96,5,465.42,New,Card,Weekend,3935.96,465.42,3739.16,3273.69,87.55,Sunday
INV1000080,15-07-2024,STR025,PRD0080,Accessories,2,6926.41,5,568.06,Returning,Card,Weekday,13852.82,1136.12,13160.18,12024.01,91.37,Monday
INV1000081,08-11-2024,STR030,PRD0037,Clothing,6,3549.25,5,1446.59,Returning,Card,Weekday,21295.50,8679.54,20230.73,11551.14,57.10,Friday
INV1000082,30-06-2025,STR025,PRD0110,Shoes,2,4279.10,5,1711.24,New,Digital,Weekday,8558.20,3422.48,8130.29,4707.76,57.90,Monday
INV1000083,10-01-2024,STR026,PRD0036,Clothing,5,536.44,15,1316.64,Returning,Digital,Weekday,2682.20,6583.20,2279.87,-4303.48,-188.76,Wednesday
INV1000084,02-06-2024,STR050,PRD0103,Shoes,5,2456.85,0,1563.76,Returning,Card,Weekend,12284.25,7818.80,12284.25,4465.45,36.35,Sunday
INV1000085,13-02-2025,STR009,PRD0081,Shoes,2,1499.58,0,1226.08,New,Cash,Weekday,2999.16,2452.16,2999.16,547.00,18.24,Thursday
INV1000086,29-11-2024,STR048,PRD0054,Accessories,4,2003.71,5,1603.08,Returning,Digital,Weekday,8014.84,6412.32,7614.10,1201.73,15.78,Friday
INV1000087,05-02-2024,STR019,PRD0096,Shoes,2,7066.86,5,925.48,Returning,Digital,Weekday,14133.72,1850.96,13427.03,11576.02,86.21,Monday
INV1000088,27-02-2025,STR024,PRD0012,Clothing,4,4058.07,5,854.04,Returning,Digital,Weekday,16232.28,3416.16,15420.67,12004.46,77.85,Thursday
INV1000089,16-06-2025,STR024,PRD0014,Clothing,4,3536.76,10,472.34,New,Cash,Weekday,14147.04,1889.36,12732.34,10842.88,85.16,Monday
INV1000090,28-12-2023,STR030,PRD0090,Shoes,2,2975.77,0,182.57,Returning,Cash,Weekday,5951.54,365.14,5951.54,5586.40,93.86,Thursday
INV1000091,23-01-2025,STR030,PRD0048,Accessories,5,6803.72,25,689.24,Returning,Card,Weekday,34018.60,3446.20,25513.95,22067.50,86.49,Thursday
INV1000092,03-12-2024,STR032,PRD0079,Accessories,4,4258.72,0,712.23,New,Card,Weekday,17034.88,2848.92,17034.88,14185.96,83.28,Tuesday
INV1000093,25-03-2024,STR035,PRD0083,Shoes,4,3382.45,0,1161.38,New,Cash,Weekday,13529.80,4645.52,13529.80,8884.28,65.66,Monday
INV1000094,28-03-2024,STR041,PRD0077,Accessories,1,9719.61,0,1507.29,New,Digital,Weekday,9719.61,1507.29,9719.61,8212.32,84.49,Thursday
INV1000095,20-04-2024,STR014,PRD0076,Accessories,3,2394.73,0,977.65,New,Digital,Weekend,7184.19,2932.95,7184.19,4251.24,59.17,Saturday
INV1000096,16-12-2023,STR009,PRD0070,Accessories,5,2731.35,10,529.45,New,Cash,Weekend,13656.75,2647.25,12291.08,9643.73,78.46,Saturday
INV1000097,25-11-2024,STR048,PRD0054,Accessories,3,5403.03,5,2064.35,Returning,Cash,Weekday,16209.09,6193.05,15398.64,9205.54,59.78,Monday
INV1000098,25-03-2025,STR043,PRD0067,Accessories,4,3225.81,0,565.88,Returning,Card,Weekday,12903.24,2263.52,12903.24,10639.72,82.46,Tuesday
INV1000099,28-03-2024,STR029,PRD0010,Clothing,3,4546.70,0,145.47,Returning,Digital,Weekday,13640.10,436.41,13640.10,13203.69,96.80,Thursday
INV1000100,07-11-2025,STR039,PRD0068,Accessories,5,3160.51,5,161.35,Returning,Cash,Weekday,15802.55,806.75,15012.42,14205.62,94.63,Friday
INV1000101,30-01-2025,STR022,PRD0106,Shoes,3,4065.19,0,1273.54,Returning,Card,Weekday,12195.57,3820.62,12195.57,8374.95,68.67,Thursday
INV1000102,06-12-2024,STR031,PRD0009,Clothing,5,910.51,5,752.11,Returning,Card,Weekday,4552.55,3760.55,4324.92,564.32,13.05,Friday
INV1000103,10-09-2024,STR043,PRD0097,Shoes,2,3845.15,0,2324.08,New,Card,Weekday,7690.30,4648.16,7690.30,3042.14,39.56,Tuesday
INV1000104,11-06-2025,STR010,PRD0085,Shoes,2,4271.76,0,978.17,Returning,Digital,Weekday,8543.52,1956.34,8543.52,6587.18,77.10,Wednesday
INV1000105,17-12-2023,STR036,PRD0099,Shoes,8,6692.67,10,2033.41,New,Digital,Weekend,53541.36,16267.28,48187.22,31919.84,66.24,Sunday
INV1000106,23-09-2025,STR020,PRD0044,Accessories,1,3704.93,0,567.02,Returning,Digital,Weekday,3704.93,567.02,3704.93,3137.91,84.70,Tuesday
INV1000107,29-04-2024,STR006,PRD0096,Shoes,3,4619.48,5,784.22,Returning,Digital,Weekday,13858.44,2352.66,13165.52,10812.81,82.13,Monday
INV1000108,10-01-2024,STR039,PRD0011,Clothing,4,4475.04,15,444.40,Returning,Card,Weekday,17900.16,1777.60,15215.14,13437.39,88.32,Wednesday
INV1000109,02-02-2025,STR029,PRD0054,Accessories,6,2949.72,0,2071.32,Returning,Card,Weekend,17698.32,12427.92,17698.32,5270.40,29.78,Sunday
INV1000110,09-04-2024,STR039,PRD0008,Clothing,2,534.59,0,244.12,Returning,Cash,Weekday,1069.18,488.24,1069.18,580.94,54.34,Tuesday
INV1000111,16-04-2025,STR048,PRD0056,Accessories,4,2004.24,10,1197.10,Returning,Cash,Weekday,8016.96,4788.40,7215.26,2426.76,33.63,Wednesday
INV1000112,06-10-2024,STR048,PRD0006,Clothing,6,2462.99,0,1363.42,New,Card,Weekend,14777.94,8180.52,14777.94,6597.42,44.64,Sunday
INV1000113,24-11-2024,STR021,PRD0022,Clothing,5,4105.95,15,1493.87,Returning,Card,Weekend,20529.75,7469.35,17450.29,9980.79,57.20,Sunday
INV1000114,26-04-2025,STR020,PRD0096,Shoes,5,3244.50,0,769.98,New,Digital,Weekend,16222.50,3849.90,16222.50,12372.60,76.27,Saturday
INV1000115,04-03-2024,STR023,PRD0094,Shoes,1,7699.21,0,954.59,New,Cash,Weekday,7699.21,954.59,7699.21,6744.62,87.60,Monday
INV1000116,20-06-2025,STR005,PRD0023,Clothing,2,4780.81,5,784.68,Returning,Digital,Weekday,9561.62,1569.36,9083.54,7514.13,82.72,Friday
INV1000117,08-10-2024,STR042,PRD0082,Shoes,3,7903.03,25,556.83,Returning,Card,Weekday,23709.09,1670.49,17781.82,16111.08,90.60,Tuesday
INV1000118,17-01-2024,STR004,PRD0046,Accessories,2,5221.17,5,501.18,Returning,Digital,Weekday,10442.34,1002.36,9920.22,8917.81,89.90,Wednesday
INV1000119,02-01-2024,STR006,PRD0079,Accessories,3,6062.57,5,575.40,Returning,Card,Weekday,18187.71,1726.20,17278.32,15552.07,90.01,Tuesday
INV1000120,15-02-2024,STR010,PRD0008,Clothing,2,2527.35,15,298.17,New,Card,Weekday,5054.70,596.34,4296.50,3700.01,86.12,Thursday
INV1000121,05-09-2024,STR029,PRD0068,Accessories,2,5370.66,0,139.02,Returning,Cash,Weekday,10741.32,278.04,10741.32,10463.28,97.41,Thursday
INV1000122,05-08-2024,STR022,PRD0009,Clothing,3,1983.61,0,922.56,Returning,Card,Weekday,5950.83,2767.68,5950.83,3183.15,53.49,Monday
INV1000123,03-10-2024,STR010,PRD0043,Accessories,7,1090.57,20,567.89,New,Digital,Weekday,7633.99,3975.23,6107.19,2131.76,34.91,Thursday
INV1000124,30-03-2024,STR006,PRD0040,Clothing,5,3015.15,0,1265.67,Returning,Cash,Weekend,15075.75,6328.35,15075.75,8747.40,58.02,Saturday
INV1000125,26-06-2024,STR043,PRD0055,Accessories,2,5232.34,0,1074.72,New,Digital,Weekday,10464.68,2149.44,10464.68,8315.24,79.46,Wednesday
INV1000126,26-05-2025,STR010,PRD0010,Clothing,3,1831.06,5,174.66,New,Card,Weekday,5493.18,523.98,5218.52,4694.49,89.96,Monday
INV1000127,30-10-2025,STR050,PRD0080,Accessories,3,1571.18,0,540.55,New,Card,Weekday,4713.54,1621.65,4713.54,3091.89,65.60,Thursday
INV1000128,21-02-2025,STR047,PRD0031,Clothing,5,4863.15,15,1705.81,Returning,Digital,Weekday,24315.75,8529.05,20668.39,12139.19,58.73,Friday
INV1000129,04-09-2024,STR013,PRD0048,Accessories,3,6879.58,5,645.84,Returning,Digital,Weekday,20638.74,1937.52,19606.80,17669.23,90.12,Wednesday
INV1000130,27-03-2025,STR013,PRD0103,Shoes,3,5153.58,0,1603.42,Returning,Digital,Weekday,15460.74,4810.26,15460.74,10650.48,68.89,Thursday
INV1000131,23-02-2025,STR034,PRD0109,Shoes,2,1697.68,0,801.94,Returning,Cash,Weekend,3395.36,1603.88,3395.36,1791.48,52.76,Sunday
INV1000132,17-04-2025,STR029,PRD0114,Shoes,2,3317.01,0,356.24,Returning,Card,Weekday,6634.02,712.48,6634.02,5921.54,89.26,Thursday
INV1000133,29-12-2023,STR007,PRD0108,Shoes,4,5945.87,0,865.04,Returning,Cash,Weekday,23783.48,3460.16,23783.48,20323.32,85.45,Friday
INV1000134,05-08-2025,STR006,PRD0003,Clothing,1,1651.66,5,705.97,Returning,Cash,Weekday,1651.66,705.97,1569.08,863.06,55.00,Tuesday
INV1000135,23-01-2024,STR008,PRD0007,Clothing,3,1572.98,10,1894.92,Returning,Card,Weekday,4718.94,5684.76,4247.05,-1437.81,-33.85,Tuesday
INV1000136,30-05-2024,STR019,PRD0055,Accessories,1,315.17,5,1252.89,Returning,Card,Weekday,315.17,1252.89,299.41,-953.53,-318.47,Thursday
INV1000137,24-12-2024,STR034,PRD0070,Accessories,4,5221.08,5,727.61,New,Cash,Weekday,20884.32,2910.44,19840.10,16929.61,85.33,Tuesday
INV1000138,08-07-2025,STR005,PRD0045,Accessories,2,2638.92,0,267.42,New,Card,Weekday,5277.84,534.84,5277.84,4743.00,89.87,Tuesday
INV1000139,02-11-2025,STR022,PRD0105,Shoes,4,5428.13,10,687.18,New,Cash,Weekend,21712.52,2748.72,19541.27,16792.45,85.93,Sunday
INV1000140,30-05-2025,STR013,PRD0114,Shoes,1,1101.72,5,515.61,Returning,Cash,Weekday,1101.72,515.61,1046.63,530.97,50.73,Friday
INV1000141,27-03-2024,STR023,PRD0111,Shoes,1,6422.06,0,2022.25,Returning,Digital,Weekday,6422.06,2022.25,6422.06,4399.81,68.51,Wednesday
INV1000142,04-05-2025,STR025,PRD0044,Accessories,3,9745.12,5,648.85,Returning,Card,Weekend,29235.36,1946.55,27773.59,25826.99,92.99,Sunday
INV1000143,17-09-2024,STR012,PRD0070,Accessories,3,3149.53,0,511.95,Returning,Cash,Weekday,9448.59,1535.85,9448.59,7912.74,83.75,Tuesday
INV1000144,07-02-2025,STR029,PRD0006,Clothing,2,3770.66,10,1613.88,Returning,Card,Weekday,7541.32,3227.76,6787.19,3559.33,52.44,Friday
INV1000145,15-10-2025,STR048,PRD0087,Shoes,3,1951.90,15,1621.11,New,Digital,Weekday,5855.70,4863.33,4977.35,113.87,2.29,Wednesday
INV1000146,16-10-2025,STR024,PRD0047,Accessories,5,4013.69,10,299.75,Returning,Card,Weekday,20068.45,1498.75,18061.61,16562.76,91.70,Thursday
INV1000147,15-03-2024,STR034,PRD0047,Accessories,1,4160.93,0,309.37,Returning,Card,Weekday,4160.93,309.37,4160.93,3851.56,92.56,Friday
INV1000148,07-08-2025,STR036,PRD0016,Clothing,2,1678.00,5,1026.52,New,Cash,Weekday,3356.00,2053.04,3188.20,1135.11,35.60,Thursday
INV1000149,19-10-2025,STR005,PRD0058,Accessories,8,1974.77,30,1612.11,Returning,Cash,Weekend,15798.16,12896.88,11058.71,-1838.47,-16.62,Sunday
INV1000150,17-05-2024,STR020,PRD0109,Shoes,4,1934.04,10,1042.72,New,Digital,Weekday,7736.16,4170.88,6962.54,2791.56,40.09,Friday
INV1000151,02-12-2024,STR009,PRD0031,Clothing,4,4056.68,5,1324.01,New,Card,Weekday,16226.72,5296.04,15415.38,10119.29,65.64,Monday
INV1000152,30-06-2025,STR046,PRD0093,Shoes,2,4246.39,5,1547.68,Returning,Card,Weekday,8492.78,3095.36,8068.14,4972.73,61.63,Monday
INV1000153,06-09-2025,STR044,PRD0067,Accessories,3,3641.79,15,616.10,Returning,Digital,Weekend,10925.37,1848.30,9286.56,7438.11,80.10,Saturday
INV1000154,15-11-2025,STR008,PRD0067,Accessories,9,1784.25,0,463.40,New,Digital,Weekend,16058.25,4170.60,16058.25,11887.65,74.03,Saturday
INV1000155,19-07-2025,STR041,PRD0039,Clothing,4,3264.93,10,1454.72,Returning,Digital,Weekend,13059.72,5818.88,11753.75,5934.77,50.49,Saturday
INV1000156,11-02-2024,STR022,PRD0108,Shoes,6,7452.29,20,756.10,Returning,Card,Weekend,44713.74,4536.60,35770.99,31234.19,87.32,Sunday
INV1000157,25-09-2024,STR041,PRD0004,Clothing,3,2741.17,0,550.76,Returning,Card,Weekday,8223.51,1652.28,8223.51,6571.23,79.91,Wednesday
INV1000158,03-11-2024,STR045,PRD0008,Clothing,8,1211.36,5,256.23,Returning,Cash,Weekend,9690.88,2049.84,9206.34,7156.45,77.73,Sunday
INV1000159,30-07-2024,STR036,PRD0014,Clothing,1,1936.02,0,471.38,New,Card,Weekday,1936.02,471.38,1936.02,1464.64,75.65,Tuesday
INV1000160,21-10-2024,STR040,PRD0054,Accessories,5,2708.22,0,2154.30,New,Cash,Weekday,13541.10,10771.50,13541.10,2769.60,20.45,Monday
INV1000161,27-12-2024,STR033,PRD0060,Accessories,3,5137.97,0,758.09,New,Cash,Weekday,15413.91,2274.27,15413.91,13139.64,85.25,Friday
INV1000162,29-11-2023,STR039,PRD0113,Shoes,4,6868.52,0,1123.65,Returning,Digital,Weekday,27474.08,4494.60,27474.08,22979.48,83.64,Wednesday
INV1000163,08-06-2025,STR024,PRD0006,Clothing,4,2302.62,0,1424.69,Returning,Card,Weekend,9210.48,5698.76,9210.48,3511.72,38.13,Sunday
INV1000164,07-12-2024,STR040,PRD0088,Shoes,5,5199.51,0,909.45,Returning,Card,Weekend,25997.55,4547.25,25997.55,21450.30,82.51,Saturday
INV1000165,05-05-2025,STR003,PRD0006,Clothing,4,675.11,15,1504.12,Returning,Cash,Weekday,2700.44,6016.48,2295.37,-3721.26,-162.12,Monday
INV1000166,22-09-2024,STR040,PRD0041,Accessories,6,1876.27,10,1721.02,Returning,Digital,Weekend,11257.62,10326.12,10131.86,-194.36,-1.92,Sunday
INV1000167,20-01-2025,STR020,PRD0061,Accessories,4,8212.76,10,1875.83,Returning,Cash,Weekday,32851.04,7503.32,29565.94,22062.52,74.62,Monday
